Line_numb,Start_Bus,End_bus
Line 1,Bus 1,Bus 2
Line 2,Bus 3,Bus 4
Line 3,Bus 5,Bus 6
Line 4,Bus 9,Bus 10
Line 5,Bus 12,Bus 13
Line 6,Bus 14,Bus 15
Line 7,Bus 17,Bus 18
Line 8,Bus 19,Bus 20
Line 9,Bus 22,Bus 20
Line 10,Bus 23,Bus 24
Line 11,Bus 25,Bus 24
Line 12,Bus 27,Bus 28
Line 13,Bus 30,Bus 31
Line 14,Bus 32,Bus 33
Line 15,Bus 34,Bus 35
Line 16,Bus 37,Bus 38
Line 17,Bus 39,Bus 44
Line 18,Bus 41,Bus 42
Line 19,Bus 45,Bus 46
Line 20,Bus 47,Bus 115
Line 21,Bus 48,Bus 49
Line 22,Bus 51,Bus 52
Line 23,Bus 53,Bus 54
Line 24,Bus 58,Bus 57
Line 25,Bus 59,Bus 57
Line 26,Bus 60,Bus 61
Line 27,Bus 62,Bus 63
Line 28,Bus 65,Bus 66
Line 29,Bus 68,Bus 69
Line 30,Bus 71,Bus 72
Line 31,Bus 74,Bus 75
Line 32,Bus 76,Bus 77
Line 33,Bus 107,Bus 108
Line 34,Bus 118,Bus 119
Line 35,Bus 8,Bus 7
Line 36,Bus 11,Bus 10
Line 37,Bus 16,Bus 15
Line 38,Bus 21,Bus 20
Line 39,Bus 26,Bus 24
Line 40,Bus 29,Bus 28
Line 41,Bus 36,Bus 35
Line 42,Bus 43,Bus 44
Line 43,Bus 50,Bus 49
Line 44,Bus 55,Bus 54
Line 45,Bus 56,Bus 57
Line 46,Bus 64,Bus 63
Line 47,Bus 95,Bus 67
Line 48,Bus 70,Bus 69
Line 49,Bus 73,Bus 72
Line 50,Bus 78,Bus 77
Line 51,Bus 109,Bus 108
Line 52,Bus 112,Bus 113
Line 53,Bus 120,Bus 119
Line 54,Bus 2,Bus 80
Line 55,Bus 80,Bus 79
Line 56,Bus 80,Bus 81
Line 57,Bus 81,Bus 7
Line 58,Bus 80,Bus 7
Line 59,Bus 4,Bus 79
Line 60,Bus 6,Bus 79
Line 61,Bus 6,Bus 79
Line 62,Bus 79,Bus 7
Line 63,Bus 79,Bus 7
Line 64,Bus 6,Bus 28
Line 65,Bus 7,Bus 10
Line 66,Bus 18,Bus 10
Line 67,Bus 18,Bus 82
Line 68,Bus 82,Bus 10
Line 69,Bus 10,Bus 13
Line 70,Bus 13,Bus 15
Line 71,Bus 82,Bus 24
Line 72,Bus 18,Bus 28
Line 73,Bus 33,Bus 83
Line 74,Bus 33,Bus 85
Line 75,Bus 83,Bus 85
Line 76,Bus 83,Bus 84
Line 77,Bus 83,Bus 84
Line 78,Bus 31,Bus 84
Line 79,Bus 84,Bus 20
Line 80,Bus 84,Bus 28
Line 81,Bus 18,Bus 20
Line 82,Bus 20,Bus 24
Line 83,Bus 24,Bus 15
